label
speech
someone calling your name
conversation nearby
person shouting
baby crying
child crying
dog barking
door knocking
doorbell ringing
door opening
door closing
window breaking
glass breaking
object falling
plate breaking
smoke alarm
fire alarm
carbon monoxide alarm
security alarm
car horn
car engine
car approaching
vehicle passing
truck passing
motorcycle
bicycle bell
train approaching
airplane overhead
helicopter
police siren
ambulance siren
fire truck siren
alarm clock
phone ringing
phone vibration
timer alarm
microwave beep
oven timer
washing machine finished
dryer finished
kettle boiling
water running
toilet flushing
vacuum cleaner
blender
drilling
hammering
chainsaw
construction noise
keyboard typing
mouse clicking
footsteps
running footsteps
crowd noise
applause
clapping
knocking on table
wind
strong wind
rain
heavy rain
thunder
storm
fire crackling
glass clinking
metal clanging
wood cracking
plastic rustling
paper tearing
zipper
velcro
bag rustling
keys jingling
